project_name,github_url,project_directory,processed_date,status
tt_um_wokwi_447359224225270785,https://github.com/albert-battagliotti-iv-stack/intro-to-esce-1010-1118,tt_um_wokwi_447359224225270785,2025-12-04T14:22:48.884373,completed
tt_um_wokwi_447982653059750913,https://github.com/Dodecah3dron/IC-Design-Submission-4bit-s-up-counter,tt_um_wokwi_447982653059750913,2025-12-04T14:23:27.092749,completed
tt_um_wokwi_447268109303873537,https://github.com/madelyndaleo/4-bit-asynchronous-adder,tt_um_wokwi_447268109303873537,2025-12-04T14:24:06.005127,completed
tt_um_wokwi_446716842630319105,https://github.com/bit-Boys/FullOneBitAdder,tt_um_wokwi_446716842630319105,2025-12-04T14:24:44.545034,completed
tt_um_wokwi_446996314264114177,https://github.com/webwizardsaanvi/7-segment-display,tt_um_wokwi_446996314264114177,2025-12-04T14:25:23.647840,completed
tt_um_wokwi_447821705259994113,https://github.com/garywong12345/4-bit-asynchronous-up-counter.git,tt_um_wokwi_447821705259994113,2025-12-04T14:26:01.151659,completed
tt_um_wokwi_446717164532704257,https://github.com/davidtverskoy/Intro-to-ECSE-IC-design-submission,tt_um_wokwi_446717164532704257,2025-12-04T14:26:39.298875,completed
tt_um_wokwi_446997400401235969,https://github.com/42millionpeople/ECSE-1010_Lab-4_7-Segment-Decoder,tt_um_wokwi_446997400401235969,2025-12-04T14:27:18.808546,completed
tt_um_wokwi_446990787716412417,https://github.com/hung-xuan-ngo-savg/2-bits-magnitude-comparator.git,tt_um_wokwi_446990787716412417,2025-12-04T14:27:56.969573,completed
tt_um_wokwi_447909765247473665,https://github.com/lockmunter-collab/IC-Design-Submission,tt_um_wokwi_447909765247473665,2025-12-04T14:28:35.104085,completed
tt_um_wokwi_447936112928476161,https://github.com/cbucher834/Wokwinov21,tt_um_wokwi_447936112928476161,2025-12-04T14:29:14.840392,completed
tt_um_wokwi_446996359464033281,https://github.com/brandonm1026/Class-24-Activity,tt_um_wokwi_446996359464033281,2025-12-04T14:29:54.167380,completed
tt_um_wokwi_447811843763790849,https://github.com/DJ-Fortissimo/Intro-to-ECSE-Lab-4-Bit-Counter,tt_um_wokwi_447811843763790849,2025-12-04T14:30:32.050894,completed
tt_um_wokwi_443363939852179457,https://github.com/entropicentity/Traffic-Toggling-IC,tt_um_wokwi_443363939852179457,2025-12-04T14:31:11.754121,completed
tt_um_wokwi_446349817444809729,https://github.com/technical-0/intro-to-ecse-demo-1031,tt_um_wokwi_446349817444809729,2025-12-04T14:31:50.314366,completed
tt_um_wokwi_447358043468808193,https://github.com/Roniel-Peralta/4-Bit-Counter-11-14,tt_um_wokwi_447358043468808193,2025-12-04T14:38:49.357851,completed
tt_um_wokwi_447980268131973121,https://github.com/jnldzg1013gmailcom/1-bit-adder-circuit,tt_um_wokwi_447980268131973121,2025-12-04T14:33:06.556651,completed
tt_um_wokwi_447361647355656193,https://github.com/notgzelle/1-bit-full-adder-IC-design-submission,tt_um_wokwi_447361647355656193,2025-12-04T14:33:45.006946,completed
tt_um_wokwi_447824517948935169,https://github.com/nonkayra/ECSE-4B.git,tt_um_wokwi_447824517948935169,2025-12-04T14:34:23.167109,completed
tt_um_wokwi_446912470174316545,https://github.com/sgunth29/IC-Design-Class-Activity-24,tt_um_wokwi_446912470174316545,2025-12-04T14:35:00.347001,completed
tt_um_wokwi_449089319458690049,https://github.com/jodonnell2406/ecse-wokwi-classwork,tt_um_wokwi_449089319458690049,2025-12-04T14:35:38.676761,completed
tt_um_wokwi_446357179536698369,https://github.com/ethansam9/2-Bit-Adder,tt_um_wokwi_446357179536698369,2025-12-04T14:36:17.318883,completed
tt_um_wokwi_446357766648124417,https://github.com/nhoj98/intro-to-ecse-1010-10-31-demo,tt_um_wokwi_446357766648124417,2025-12-04T14:36:54.488956,completed
tt_um_wokwi_446358765191457793,https://github.com/ryan718585/4-bit-ring-counter,tt_um_wokwi_446358765191457793,2025-12-04T14:37:31.956181,completed
tt_um_wokwi_446990787716412417,https://github.com/hung-xuan-ngo-savg/2-bits-magnitude-comparator,tt_um_wokwi_446990787716412417,2025-12-04T14:38:10.212905,completed
tt_um_wokwi_447358175526479873,https://github.com/atscosmo/lab4,tt_um_wokwi_447358175526479873,2025-12-04T14:39:28.013564,completed
tt_um_wokwi_446983746674406401,https://github.com/henevans25/wokwimultiplexor,tt_um_wokwi_446983746674406401,2025-12-04T14:40:13.472492,completed
tt_um_wokwi_447383630811531265,https://github.com/computersandrew/Class-24-Activity-IC-Design-Submission.git,tt_um_wokwi_447383630811531265,2025-12-04T14:40:52.821682,completed
tt_um_wokwi_446992137588357121,https://github.com/MylesKocsis/7-Segment-Display-Intro-to-ECSE,tt_um_wokwi_446992137588357121,2025-12-04T14:41:31.107067,completed
tt_um_wokwi_447996382457009153,https://github.com/Peter3233/-IC-Design-Submission---one-bit-full-adder.git,tt_um_wokwi_447996382457009153,2025-12-04T14:42:07.778120,completed
tt_um_wokwi_448100111902375937,https://github.com/jaredierardi/IC-Design,tt_um_wokwi_448100111902375937,2025-12-04T14:42:44.351197,completed
tt_um_wokwi_446987715197491201,https://github.com/mattsarkar10/IC-Design,tt_um_wokwi_446987715197491201,2025-12-04T14:43:20.655585,completed
tt_um_wokwi_446448034226075649,https://github.com/elijahrpulga/ECSE-Lab_4A.git,tt_um_wokwi_446448034226075649,2025-12-04T14:43:57.473609,completed
tt_um_wokwi_447449214971248641,https://github.com/elenidough/Seven-Segment-Decoder-,tt_um_wokwi_447449214971248641,2025-12-04T14:44:46.189997,completed
tt_um_wokwi_447187389911513089,https://github.com/Rodyker/intro-to-ecse-IC,tt_um_wokwi_447187389911513089,2025-12-04T14:45:24.822821,completed
tt_um_wokwi_447911024130222081,https://github.com/jeaink0607/lab4b,tt_um_wokwi_447911024130222081,2025-12-04T14:46:02.777013,completed
tt_um_wokwi_446992592396712961,https://github.com/jacknotaro7/JackNotaro,tt_um_wokwi_446992592396712961,2025-12-04T14:46:40.878561,completed
tt_um_wokwi_447989872513811457,https://github.com/jpetrarca4/ECSE-1010-IC-Design,tt_um_wokwi_447989872513811457,2025-12-04T14:47:20.562765,completed
tt_um_wokwi_446987090831206401,https://github.com/melissagdeluise-png/ecse-2bit-full-adder-circuit.git,tt_um_wokwi_446987090831206401,2025-12-04T14:47:59.011937,completed
tt_um_wokwi_447830736860122113,https://github.com/nick-gl/Lab_4A_adder,tt_um_wokwi_447830736860122113,2025-12-04T14:48:37.625151,completed
tt_um_wokwi_446983511627671553,https://github.com/orbitle/ECSE1010-Class-24-Activity,tt_um_wokwi_446983511627671553,2025-12-04T14:49:15.320352,completed
tt_um_wokwi_447933463901882369,https://github.com/tommybarker2/Wokwi-Template,tt_um_wokwi_447933463901882369,2025-12-04T14:49:54.294221,completed
tt_um_wokwi_446715442694161409,https://github.com/Xandrosy/IC-Design,tt_um_wokwi_446715442694161409,2025-12-04T14:50:31.986686,completed
tt_um_wokwi_447983687789484033,https://github.com/elin20-hub/lab4b,tt_um_wokwi_447983687789484033,2025-12-04T14:51:10.514838,completed
tt_um_wokwi_447644378544688129,https://github.com/LeeASC10679/4-bit-synchronous-up-counter-using-T-flip-flop-ICs-,tt_um_wokwi_447644378544688129,2025-12-04T15:07:37.867182,completed
tt_um_wokwi_447895555211453441,https://github.com/aidenatri-png/ecse-chip,tt_um_wokwi_447895555211453441,2025-12-04T15:08:32.694772,completed
tt_um_wokwi_447358337716034561,https://github.com/ohenem/Intro-to-ECSE---Lab-4B---JK-Flip-Flop-Circuit-1-,tt_um_wokwi_447358337716034561,2025-12-04T15:12:04.567378,completed
tt_um_wokwi_447352099694738433,https://github.com/isiahgg/Isiah-Micheal-Lab-4A,tt_um_wokwi_447352099694738433,2025-12-04T15:12:44.093838,completed
tt_um_wokwi_447346482908403713,https://github.com/patela19-rpi/lab-4-up-counter,tt_um_wokwi_447346482908403713,2025-12-04T15:13:43.692761,completed
tt_um_wokwi_447907135027520513,https://github.com/jaredlesk/ECSE-LAB-4B-Circuit-Design,tt_um_wokwi_447907135027520513,2025-12-06T08:45:31.393623,completed
tt_um_wokwi_447173649954615297,https://github.com/Roba250/Intro-to-ECSE-3,tt_um_wokwi_447173649954615297,2025-12-06T08:47:16.746166,completed
